1
2	животн, физич
3	эволюция, интуиция, события
4
5	мысли
6
7	чуства
8	характер, судьба урантии
9	ценности, цели
10	эволюция, интуиция, события
11
12	эмоции
13
14
15	ментал
16	яснознание
17	душа
18
19
20
21
22	казуал
23
24
25	животн, физич
26
27
28
29
30
31
32
33
34
35
36
37
38
39
40	химич, эфирн, крылатое
41
42
43
44
45
46
47
48
49
50
51	фисич, фитальн, астрал
52
53
54
55
56
57
58
59
60
61
62
63
64
65
66
67
68
69
70
71
72
73
74
75
76	митальн, минеральн, ментал
77
78
79
80
81
82
83
84	литальн, казуал
85
86
87
88
89
90
91
92
93	питальн, душа
94
95
96
97
98
99
100	читальн, дух
101
102
103
104
105	ситальн, атман, этическ, божествен, баба
106
107
108	цитальн, саратман, языков, девакон
