1
2	жим
3	лежание, лижание
4
5	метание
6
7	растяжения
8	воспитание, вращения, морал усилия
9	почитания, колебание, воля
10
11
12	нагрузки, статика
13	дыхание
14
15
16	сидение в симметричном пространстве, поступательные движения 8образной мишцы
17
18
19
20
21
22
23
24
25	движения криволинейные
26
40
51
76
105
108
110
111
112	сон
