1
2	динамика
3	лицедейство
4
5	мистика
6
7	химнастика, гимнастика
8	поэсия
9	чародейство
10
11
12	физкультура
13	таинства, цигун, симметрия в быту и поведении
14
15
16	фисика
17
18
19
20
21
22
23
24
25
26
40
51
76
105	соитие
108	соитие
