1
2	жик, час
3	лик, лето
4
5	мик, месяц
6
7	хик, сутки
8	пик, больше минута
9	чик, минута
10
11
12	фик, шестидница, week
13	цик, секунда
14
15
16	сик, большая секунда
17
18
19
20
21
22
23
24
