1
2	жища, жратва
3	лища, сыть
4
5	мища, месиво
6
7	хища, кутья
8	пища
9	чища, снедь
10
11
12	фища, мараша, корм
13	цища
14
15
16	сища
17
18
19
20
21
22
23
24
25
