1
2	1, 5, 10, 15, 20, 25
3	1, 3, 9, 18
4	8
5	1, 2, 8, 16, 24
6	6
7	1, 6, 12, 18, 24
8	1, 11
9	1, 13
10
11	11
12	1, 7, 14, 21
13	1, 19
14
15
16
17
18
19
20
21
22
23
24
