1	искуственное
2	искуственное
3
4	искуственное
5	искуственное
6	естественное
7	искуственное
8	искуственное
9	искуственное
10	искуственное
11	естественное
12
13	естественное
14	естественное
15	искуственное
16	естественное
17	искуственное
18	естественное
19	естественное
20	искуственное
21	естественное
22	искуственное
23	естественное
24	естественное
25	семля созданы
26
27	естественное
28	естественное
29
30	естественное
31	естественное
32
33	естественное
34	естественное
35
36
37
38
39
40	семля созданы
41
42
43
44
45
46
47
48
49
50
51	семля созданы
52
53
54
55
56
57
58
59
60	естественное
61	естественное
62	естественное
63	естественное
64
65
66
67
68
69
70
71
72
73
74
75
76	семля созданы
77
78
79
80
81
82
83
84	семля созданы
85
86
87
88
89
90
91
92
93	семля созданы но внеземны
94
95
96
97
98
99
100	семля созданы но внеземны
101
102
103
104
105	семля созданы но внеземны
106
107
108	семля созданы но внеземны
