1	агонь
2	семля
3	воздух
4	адьва
5	агонь
6	семля
7	воздух
8	адьва
9	агонь
10	семля
11	воздух
12	адьва
13	агонь
14	семля
15	воздух
16	адьва
17	агонь
18	семля
19	воздух
20	адьва
21	агонь
22	семля
23	воздух
24	адьва
25	агонь
26
27
28
29
30
31
32
33
34
35
36
37
38
39
40	воздух
41	агонь
42
43
44
45
46
47
48
49
50
51	адьва
52
53
54
55
56
57
58
59
60
61
62
63
64
65
66
67
68
69
70
71
72
73
74
75
76	агонь
77	агонь
78	воздух
79	адьва
80	семля
81	воздух
82	агонь
83	семля
84	семля
85
86
87
88
89
90
91
92
93	воздух
94
95
96
97
98
99
100	адьва
101	адьва
102	семля
103	агонь
104	воздух
105
106
107
108
