1
2	жилище, житище
3	лачуга
4
5	минарет, мизонет
6
7	хижина, хибара
8	пинат
9	чиум, чум
10
11
12	филигель, филла, вилла
13	царай, сарай
14
15
16	сикля, сакля
17
18
19
20
21
22
23
24
25
